VCD info: dumpfile waveform.vcd opened for output.
q1 = 0000, q2 = 00000000, q3 = 0000000000000000, q4 = 00000000000000000000000000000000
q1 = 0000, q2 = 00000000, q3 = 0000000000000000, q4 = 00000000000000000000000000000000
q1 = 0001, q2 = 00000001, q3 = 0000000000000001, q4 = 00000000000000000000000000000001
q1 = 0011, q2 = 00000011, q3 = 0000000000000011, q4 = 00000000000000000000000000000011
q1 = 0111, q2 = 00000111, q3 = 0000000000000111, q4 = 00000000000000000000000000000111
q1 = 1111, q2 = 00001111, q3 = 0000000000001111, q4 = 00000000000000000000000000001111
q1 = 1110, q2 = 00011111, q3 = 0000000000011111, q4 = 00000000000000000000000000011111
q1 = 1100, q2 = 00111111, q3 = 0000000000111111, q4 = 00000000000000000000000000111111
q1 = 1000, q2 = 01111111, q3 = 0000000001111111, q4 = 00000000000000000000000001111111
q1 = 0000, q2 = 11111111, q3 = 0000000011111111, q4 = 00000000000000000000000011111111
q1 = 0001, q2 = 11111110, q3 = 0000000111111111, q4 = 00000000000000000000000111111111
q1 = 0011, q2 = 11111100, q3 = 0000001111111111, q4 = 00000000000000000000001111111111
q1 = 0111, q2 = 11111000, q3 = 0000011111111111, q4 = 00000000000000000000011111111111
q1 = 1111, q2 = 11110000, q3 = 0000111111111111, q4 = 00000000000000000000111111111111
q1 = 1110, q2 = 11100000, q3 = 0001111111111111, q4 = 00000000000000000001111111111111
q1 = 1100, q2 = 11000000, q3 = 0011111111111111, q4 = 00000000000000000011111111111111
q1 = 1000, q2 = 10000000, q3 = 0111111111111111, q4 = 00000000000000000111111111111111
q1 = 0000, q2 = 00000000, q3 = 1111111111111111, q4 = 00000000000000001111111111111111
q1 = 0001, q2 = 00000001, q3 = 1111111111111110, q4 = 00000000000000011111111111111111
q1 = 0011, q2 = 00000011, q3 = 1111111111111100, q4 = 00000000000000111111111111111111
q1 = 0111, q2 = 00000111, q3 = 1111111111111000, q4 = 00000000000001111111111111111111
q1 = 1111, q2 = 00001111, q3 = 1111111111110000, q4 = 00000000000011111111111111111111
q1 = 1110, q2 = 00011111, q3 = 1111111111100000, q4 = 00000000000111111111111111111111
q1 = 1100, q2 = 00111111, q3 = 1111111111000000, q4 = 00000000001111111111111111111111
q1 = 1000, q2 = 01111111, q3 = 1111111110000000, q4 = 00000000011111111111111111111111
q1 = 0000, q2 = 11111111, q3 = 1111111100000000, q4 = 00000000111111111111111111111111
q1 = 0001, q2 = 11111110, q3 = 1111111000000000, q4 = 00000001111111111111111111111111
q1 = 0011, q2 = 11111100, q3 = 1111110000000000, q4 = 00000011111111111111111111111111
q1 = 0111, q2 = 11111000, q3 = 1111100000000000, q4 = 00000111111111111111111111111111
q1 = 1111, q2 = 11110000, q3 = 1111000000000000, q4 = 00001111111111111111111111111111
q1 = 1110, q2 = 11100000, q3 = 1110000000000000, q4 = 00011111111111111111111111111111
q1 = 1100, q2 = 11000000, q3 = 1100000000000000, q4 = 00111111111111111111111111111111
q1 = 1000, q2 = 10000000, q3 = 1000000000000000, q4 = 01111111111111111111111111111111
q1 = 0000, q2 = 00000000, q3 = 0000000000000000, q4 = 11111111111111111111111111111111
q1 = 0001, q2 = 00000001, q3 = 0000000000000001, q4 = 11111111111111111111111111111110
q1 = 0011, q2 = 00000011, q3 = 0000000000000011, q4 = 11111111111111111111111111111100
q1 = 0111, q2 = 00000111, q3 = 0000000000000111, q4 = 11111111111111111111111111111000
q1 = 1111, q2 = 00001111, q3 = 0000000000001111, q4 = 11111111111111111111111111110000
q1 = 1110, q2 = 00011111, q3 = 0000000000011111, q4 = 11111111111111111111111111100000
q1 = 1100, q2 = 00111111, q3 = 0000000000111111, q4 = 11111111111111111111111111000000
q1 = 1000, q2 = 01111111, q3 = 0000000001111111, q4 = 11111111111111111111111110000000
q1 = 0000, q2 = 11111111, q3 = 0000000011111111, q4 = 11111111111111111111111100000000
q1 = 0001, q2 = 11111110, q3 = 0000000111111111, q4 = 11111111111111111111111000000000
q1 = 0011, q2 = 11111100, q3 = 0000001111111111, q4 = 11111111111111111111110000000000
q1 = 0111, q2 = 11111000, q3 = 0000011111111111, q4 = 11111111111111111111100000000000
q1 = 1111, q2 = 11110000, q3 = 0000111111111111, q4 = 11111111111111111111000000000000
q1 = 1110, q2 = 11100000, q3 = 0001111111111111, q4 = 11111111111111111110000000000000
q1 = 1100, q2 = 11000000, q3 = 0011111111111111, q4 = 11111111111111111100000000000000
q1 = 1000, q2 = 10000000, q3 = 0111111111111111, q4 = 11111111111111111000000000000000
q1 = 0000, q2 = 00000000, q3 = 1111111111111111, q4 = 11111111111111110000000000000000
q1 = 0001, q2 = 00000001, q3 = 1111111111111110, q4 = 11111111111111100000000000000000
q1 = 0011, q2 = 00000011, q3 = 1111111111111100, q4 = 11111111111111000000000000000000
q1 = 0111, q2 = 00000111, q3 = 1111111111111000, q4 = 11111111111110000000000000000000
q1 = 1111, q2 = 00001111, q3 = 1111111111110000, q4 = 11111111111100000000000000000000
q1 = 1110, q2 = 00011111, q3 = 1111111111100000, q4 = 11111111111000000000000000000000
q1 = 1100, q2 = 00111111, q3 = 1111111111000000, q4 = 11111111110000000000000000000000
q1 = 1000, q2 = 01111111, q3 = 1111111110000000, q4 = 11111111100000000000000000000000
q1 = 0000, q2 = 11111111, q3 = 1111111100000000, q4 = 11111111000000000000000000000000
q1 = 0001, q2 = 11111110, q3 = 1111111000000000, q4 = 11111110000000000000000000000000
q1 = 0011, q2 = 11111100, q3 = 1111110000000000, q4 = 11111100000000000000000000000000
q1 = 0111, q2 = 11111000, q3 = 1111100000000000, q4 = 11111000000000000000000000000000
q1 = 1111, q2 = 11110000, q3 = 1111000000000000, q4 = 11110000000000000000000000000000
q1 = 1110, q2 = 11100000, q3 = 1110000000000000, q4 = 11100000000000000000000000000000
q1 = 1100, q2 = 11000000, q3 = 1100000000000000, q4 = 11000000000000000000000000000000
q1 = 1000, q2 = 10000000, q3 = 1000000000000000, q4 = 10000000000000000000000000000000
q1 = 0000, q2 = 00000000, q3 = 0000000000000000, q4 = 00000000000000000000000000000000
q1 = 0001, q2 = 00000001, q3 = 0000000000000001, q4 = 00000000000000000000000000000001
q1 = 0011, q2 = 00000011, q3 = 0000000000000011, q4 = 00000000000000000000000000000011
q1 = 0111, q2 = 00000111, q3 = 0000000000000111, q4 = 00000000000000000000000000000111
q1 = 1111, q2 = 00001111, q3 = 0000000000001111, q4 = 00000000000000000000000000001111
q1 = 1110, q2 = 00011111, q3 = 0000000000011111, q4 = 00000000000000000000000000011111
q1 = 1100, q2 = 00111111, q3 = 0000000000111111, q4 = 00000000000000000000000000111111
q1 = 1000, q2 = 01111111, q3 = 0000000001111111, q4 = 00000000000000000000000001111111
q1 = 0000, q2 = 11111111, q3 = 0000000011111111, q4 = 00000000000000000000000011111111
q1 = 0001, q2 = 11111110, q3 = 0000000111111111, q4 = 00000000000000000000000111111111
q1 = 0011, q2 = 11111100, q3 = 0000001111111111, q4 = 00000000000000000000001111111111
q1 = 0111, q2 = 11111000, q3 = 0000011111111111, q4 = 00000000000000000000011111111111
q1 = 1111, q2 = 11110000, q3 = 0000111111111111, q4 = 00000000000000000000111111111111
q1 = 1110, q2 = 11100000, q3 = 0001111111111111, q4 = 00000000000000000001111111111111
q1 = 1100, q2 = 11000000, q3 = 0011111111111111, q4 = 00000000000000000011111111111111
q1 = 1000, q2 = 10000000, q3 = 0111111111111111, q4 = 00000000000000000111111111111111
q1 = 0000, q2 = 00000000, q3 = 1111111111111111, q4 = 00000000000000001111111111111111
q1 = 0001, q2 = 00000001, q3 = 1111111111111110, q4 = 00000000000000011111111111111111
q1 = 0011, q2 = 00000011, q3 = 1111111111111100, q4 = 00000000000000111111111111111111
q1 = 0111, q2 = 00000111, q3 = 1111111111111000, q4 = 00000000000001111111111111111111
q1 = 1111, q2 = 00001111, q3 = 1111111111110000, q4 = 00000000000011111111111111111111
q1 = 1110, q2 = 00011111, q3 = 1111111111100000, q4 = 00000000000111111111111111111111
q1 = 1100, q2 = 00111111, q3 = 1111111111000000, q4 = 00000000001111111111111111111111
q1 = 1000, q2 = 01111111, q3 = 1111111110000000, q4 = 00000000011111111111111111111111
q1 = 0000, q2 = 11111111, q3 = 1111111100000000, q4 = 00000000111111111111111111111111
q1 = 0001, q2 = 11111110, q3 = 1111111000000000, q4 = 00000001111111111111111111111111
q1 = 0011, q2 = 11111100, q3 = 1111110000000000, q4 = 00000011111111111111111111111111
q1 = 0111, q2 = 11111000, q3 = 1111100000000000, q4 = 00000111111111111111111111111111
q1 = 1111, q2 = 11110000, q3 = 1111000000000000, q4 = 00001111111111111111111111111111
q1 = 1110, q2 = 11100000, q3 = 1110000000000000, q4 = 00011111111111111111111111111111
q1 = 1100, q2 = 11000000, q3 = 1100000000000000, q4 = 00111111111111111111111111111111
q1 = 1000, q2 = 10000000, q3 = 1000000000000000, q4 = 01111111111111111111111111111111
q1 = 0000, q2 = 00000000, q3 = 0000000000000000, q4 = 11111111111111111111111111111111
q1 = 0001, q2 = 00000001, q3 = 0000000000000001, q4 = 11111111111111111111111111111110
q1 = 0011, q2 = 00000011, q3 = 0000000000000011, q4 = 11111111111111111111111111111100
q1 = 0111, q2 = 00000111, q3 = 0000000000000111, q4 = 11111111111111111111111111111000
parameter_tb.v:53: $finish called at 1005 (1s)
